Zip Code,Median Household Income
94027,236912
92145,228587
91980,200325
94957,187857
94022,182750
94028,180174
94506,176241
90077,172443
94105,170656
94024,167546
95070,167386
95140,166750
94563,166147
92657,163486
94507,163219
94528,162328
90272,157938
91210,157879
90274,156250
95030,154107
94074,153269
95120,152721
91011,152210
92861,150864
95007,149821
92679,149538
94037,147568
94708,145610
95138,145505
94129,144886
94539,144152
90266,142071
90210,138750
94582,138371
94549,137344
92694,137122
94707,136331
96136,135076
94301,134907
95053,133333
94556,133088
94552,132826
94920,132486
94065,132462
90402,131607
92130,131166
94127,131108
95014,130961
94526,128802
95135,128654
91436,128060
94588,127684
92887,126984
94062,126557
95033,126397
92625,125735
92673,125629
94070,125335
93108,125272
90265,124814
92823,124712
95663,124375
94618,123575
92127,123459
94114,122970
94087,122354
94583,121948
91302,121715
94517,121367
94598,121337
94941,121209
94123,121200
92610,120984
95032,120893
90275,120742
92603,120686
93730,120672
94107,120610
94566,120401
95041,120208
91108,120152
92067,119939
92131,119924
94025,119095
95746,118919
91708,118750
94010,118125
95762,117700
91377,117326
95054,116855
90049,116732
94402,115807
94404,114779
92014,114777
95134,114757
91381,114608
94555,114603
95587,114542
93908,113826
94568,113616
94946,113281
94925,113279
92660,112008
94505,111833
94306,111602
91354,111098
92808,110964
91914,110343
95837,110236
92886,110054
91301,109913
96125,109545
92129,109267
95066,108919
91105,108882
95131,108366
94960,108295
95046,108205
94970,107768
94592,107660
94611,107577
95129,107493
95148,107324
95391,107095
90290,106750
95124,106660
90743,106458
91320,106365
94964,106333
94002,105985
91390,105659
94502,105480
90254,105029
90278,104934
93619,104557
95742,104167
92602,104149
92060,104125
92121,103598
94111,103472
94019,103378
94117,103333
90292,103319
95119,103319
91361,103306
94550,102952
95318,102872
92782,102755
92364,102500
95125,102479
93953,102396
91384,102273
94904,102237
92009,102212
92620,102160
92692,102045
92011,102030
94304,101932
94040,101912
92880,101303
92656,101292
95051,101292
94043,100844
94516,100750
91362,100747
92688,100694
91962,100398
92385,100380
95630,100308
94086,100215
94547,100204
95683,100139
94131,100114
91739,100049
93109,99638
91915,99606
93021,99537
90277,99398
95227,99167
95130,98990
95035,98899
91326,98831
92651,98697
91307,98655
91737,98407
95139,98400
94551,98321
91008,98315
92677,98264
93923,98219
95132,98026
91350,97921
91709,97609
92618,97470
95377,96860
90808,96824
94044,96719
93664,96563
94705,96537
93314,96446
92064,96297
94938,96281
90094,96010
92614,95984
91784,95975
92010,95806
