Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Median Household Income,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
8779-QRDMV,1,Male,78,0,1,0,0,0,Los Angeles,90022,34.02381,-118.156582,68701,39051.0,0,0,1,None,0,0.0,0,1,DSL,8,0,0,1,0,0,1,0,0,Month-to-Month,1,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,1,91,5433,Competitor,Competitor offered more data
4737-AQCPU,1,Male,39,0,0,1,0,0,Los Angeles,90022,34.02381,-118.156582,68701,39051.0,1,5,72,None,1,42.55,1,1,DSL,18,1,1,1,1,0,0,0,1,Two Year,0,Credit Card,72.1,5016.65,0.0,0,3063.6,8080.25,3,0,42,4658,,
5043-TRZWM,1,Female,32,0,0,0,0,0,Los Angeles,90022,34.02381,-118.156582,68701,39051.0,0,0,1,None,1,7.11,0,1,Fiber Optic,26,0,0,1,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,75.55,75.55,0.0,0,7.11,82.66,5,0,34,3503,,
8165-CBKXO,1,Male,35,0,0,1,1,>=3,Los Angeles,90022,34.02381,-118.156582,68701,39051.0,1,4,66,None,0,0.0,0,1,Cable,25,0,1,1,0,1,1,1,1,Two Year,1,Credit Card,56.75,3708.4,0.0,0,0.0,3708.4,3,0,46,5748,,
9979-RGMZT,1,Female,20,1,0,0,0,0,Los Angeles,90022,34.02381,-118.156582,68701,39051.0,0,0,7,Offer E,1,36.49,0,1,Fiber Optic,42,0,1,0,0,1,1,1,1,One Year,1,Credit Card,94.05,633.45,0.0,0,255.43,888.8800000000001,3,0,38,5545,,
7495-OOKFY,1,Female,74,0,1,1,1,1,Los Angeles,90063,34.044271,-118.185237,55668,39206.0,1,1,8,Offer E,1,48.85,1,1,Fiber Optic,17,0,1,0,0,0,0,0,1,Month-to-Month,1,Credit Card,80.65,633.3,0.0,0,390.8,1024.1,3,1,69,5302,Competitor,Competitor made better offer
4918-FYJNT,1,Female,68,0,1,1,0,0,Los Angeles,90063,34.044271,-118.185237,55668,39206.0,1,4,55,None,1,22.74,1,1,Fiber Optic,21,0,1,1,1,0,0,0,1,Two Year,0,Bank Withdrawal,90.45,5044.8,12.48,0,1250.6999999999998,6283.02,4,0,42,5140,,
3891-PUQOD,1,Female,40,0,0,0,1,>=3,Los Angeles,90063,34.044271,-118.185237,55668,39206.0,0,0,1,None,1,13.58,0,1,DSL,24,0,0,1,0,0,1,1,1,Month-to-Month,0,Bank Withdrawal,59.2,59.2,0.0,0,13.58,72.78,1,1,65,5020,Dissatisfaction,Service dissatisfaction
0052-DCKON,1,Male,28,1,0,1,0,0,Los Angeles,90063,34.044271,-118.185237,55668,39206.0,1,9,66,None,1,43.77,1,1,Fiber Optic,41,1,1,1,1,1,1,1,1,One Year,0,Bank Withdrawal,115.8,7942.15,0.0,0,2888.82,10830.97,3,0,42,5845,,
3704-IEAXF,1,Female,49,0,0,1,1,>=3,Los Angeles,90063,34.044271,-118.185237,55668,39206.0,1,9,72,None,0,0.0,0,1,DSL,53,0,1,0,1,1,1,1,1,Two Year,0,Credit Card,53.65,3784.0,0.0,0,0.0,3784.0,3,0,47,5498,,
1658-BYGOY,1,Male,71,0,1,0,1,>=3,Los Angeles,90065,34.108833,-118.229715,47534,52794.0,0,0,18,Offer D,1,11.33,1,1,Fiber Optic,52,0,0,0,0,1,1,1,1,Month-to-Month,1,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,1,81,3179,Competitor,Competitor made better offer
4854-CIDCF,1,Female,74,0,1,0,0,0,Los Angeles,90065,34.108833,-118.229715,47534,52794.0,0,0,3,None,1,46.65,0,1,Fiber Optic,25,0,0,1,0,0,0,0,1,Two Year,0,Bank Withdrawal,73.85,196.4,0.0,0,139.95,336.35,4,0,74,2868,,
9699-UBQFS,1,Female,76,0,1,1,0,0,Los Angeles,90065,34.108833,-118.229715,47534,52794.0,1,4,43,None,1,3.66,1,1,Fiber Optic,22,1,1,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,94.5,4156.8,0.0,0,157.38,4314.18,3,0,32,4745,,
3623-FQBOX,1,Male,34,0,0,0,0,0,Los Angeles,90065,34.108833,-118.229715,47534,52794.0,0,0,21,Offer D,1,44.01,0,0,None,0,0,0,0,0,0,0,0,0,Month-to-Month,1,Credit Card,19.95,416.4,0.0,0,924.2099999999999,1340.61,5,0,36,3632,,
0674-EYYZV,1,Female,41,0,0,0,0,0,Los Angeles,90065,34.108833,-118.229715,47534,52794.0,0,0,1,None,1,36.33,0,1,DSL,4,0,0,0,0,1,0,0,1,Month-to-Month,1,Bank Withdrawal,54.65,54.65,0.0,0,36.33,90.97999999999999,3,0,74,5882,,
4598-XLKNJ,1,Female,78,0,1,1,1,1,Inglewood,90303,33.936291,-118.332639,27778,40807.0,1,1,25,Offer C,1,19.76,0,1,Fiber Optic,12,0,1,1,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,1,88,5337,Dissatisfaction,Limited range of services
6925-BAYGL,1,Female,79,0,1,1,0,0,Inglewood,90303,33.936291,-118.332639,27778,40807.0,1,1,53,None,1,19.03,1,0,None,0,0,0,0,0,0,0,0,0,Two Year,0,Credit Card,25.1,1275.6,0.0,0,1008.59,2284.19,3,0,70,5295,,
2452-MRMZF,1,Female,70,0,1,1,0,0,Inglewood,90303,33.936291,-118.332639,27778,40807.0,1,9,72,None,1,8.48,1,0,None,0,0,0,0,0,0,0,0,0,Two Year,1,Credit Card,25.7,1937.4,0.0,0,610.5600000000001,2547.96,3,0,21,5079,,
9436-ZBZCT,1,Male,40,0,0,0,0,0,Inglewood,90303,33.936291,-118.332639,27778,40807.0,0,0,14,Offer D,1,28.65,1,1,Cable,27,0,0,0,1,1,0,0,1,Month-to-Month,1,Bank Withdrawal,89.95,1178.4,0.0,0,401.09999999999997,1579.5,2,1,90,5463,Attitude,Attitude of support person
9618-LFJRU,1,Female,31,0,0,0,0,0,Inglewood,90303,33.936291,-118.332639,27778,40807.0,0,0,4,None,1,3.05,0,0,None,0,0,0,0,0,0,0,0,0,Month-to-Month,0,Credit Card,20.45,82.85,0.0,0,12.2,95.05,5,0,40,4344,,
4846-WHAFZ,1,Female,80,0,1,1,1,1,Whittier,90602,33.972119,-118.020188,26265,47622.0,1,1,37,Offer C,1,6.33,1,1,Fiber Optic,14,0,0,0,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,2,1,67,2793,Price,Extra data charges
1602-IJQQE,1,Female,42,0,0,0,0,0,Whittier,90602,33.972119,-118.020188,26265,47622.0,0,0,4,Offer E,1,29.11,1,1,Fiber Optic,9,0,0,0,0,0,0,0,1,Month-to-Month,0,Bank Withdrawal,75.35,338.1,0.0,0,116.44,454.54,1,1,92,2220,Competitor,Competitor had better devices
0409-WTMPL,1,Female,35,0,0,1,0,0,Whittier,90602,33.972119,-118.020188,26265,47622.0,1,8,58,Offer B,1,37.95,1,1,Fiber Optic,18,1,1,1,0,1,1,1,1,One Year,1,Credit Card,110.65,6526.65,0.0,0,2201.1000000000004,8727.75,3,0,55,4761,,
3272-VUHPV,1,Female,24,1,0,1,1,1,Whittier,90602,33.972119,-118.020188,26265,47622.0,1,>=10,8,None,1,31.86,0,1,Cable,59,0,1,0,1,0,0,0,0,Month-to-Month,0,Bank Withdrawal,56.3,401.5,0.0,30,254.88,686.38,5,0,21,3135,,
6898-RBTLU,1,Female,47,0,0,1,1,1,Whittier,90602,33.972119,-118.020188,26265,47622.0,1,9,49,Offer B,1,16.6,1,1,DSL,14,0,1,0,1,1,1,1,1,Two Year,0,Bank Withdrawal,79.3,3902.45,0.0,0,813.4000000000001,4715.85,5,0,59,6366,,
